               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087891,            0.021242,                   0,             0.58457,             0.69919,             0.59763,             0.31736,            0.030912,            0.012216,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.051326,            0.022341,                   0,             0.37937,             0.77236,              0.4667,             0.26469,            0.031772,            0.013086,                   0,            0.050319,           0.0053185,           0.0053185
                   2,            0.054825,            0.017868,                   0,             0.37987,             0.73984,             0.41802,              0.2766,            0.035891,           0.0064816,                   0,            0.024752,           0.0077522,           0.0077522
                   3,            0.052134,            0.016758,                   0,             0.84946,             0.78862,             0.89998,             0.66526,            0.035199,           0.0057742,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.043013,            0.015231,                   0,             0.62688,             0.63415,             0.73916,             0.52819,            0.027206,           0.0048981,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.037961,            0.013677,                   0,             0.96123,             0.96748,             0.99193,             0.68214,            0.019684,           0.0042982,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.033763,            0.012161,                   0,             0.93508,             0.98374,             0.98914,             0.77662,            0.017055,           0.0038097,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.033431,            0.011651,                   0,             0.95987,             0.97235,             0.98942,             0.83069,            0.015721,           0.0036747,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.029446,            0.011589,                   0,              0.9535,             0.95935,             0.97905,             0.79361,             0.01778,           0.0038242,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.029141,             0.01095,                   0,             0.95548,             0.97561,             0.98842,             0.70192,            0.014995,           0.0037165,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.027065,            0.010779,                   0,             0.92929,             0.96168,             0.98264,             0.80487,             0.01733,           0.0036429,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.025515,            0.010785,                   0,             0.96818,             0.98947,             0.99322,             0.88057,            0.010713,           0.0034784,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.026466,            0.010359,                   0,             0.95964,                   1,             0.99341,             0.88287,            0.016652,           0.0036683,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.022602,           0.0094951,                   0,              0.9759,             0.98781,             0.99427,             0.86931,            0.011166,           0.0033881,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.024464,           0.0094768,                   0,             0.97591,             0.98799,             0.99427,              0.9037,           0.0099756,           0.0032233,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.022177,           0.0091718,                   0,             0.97363,                   1,             0.99352,             0.88395,           0.0084671,           0.0032209,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.022964,           0.0092809,                   0,             0.97598,                   1,             0.99443,             0.89557,           0.0087287,           0.0030159,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.021978,           0.0092024,                   0,             0.98355,                   1,             0.99476,             0.87519,            0.010435,           0.0029669,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.018538,           0.0084683,                   0,             0.99152,                   1,               0.995,             0.92788,           0.0075433,           0.0028342,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.017149,           0.0087431,                   0,             0.99066,                   1,               0.995,             0.88705,           0.0088534,           0.0027846,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.018408,           0.0083154,                   0,             0.99551,                   1,               0.995,             0.93282,           0.0064323,           0.0027314,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.017246,            0.008116,                   0,             0.99769,                   1,               0.995,             0.95299,           0.0062025,           0.0026525,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.016299,           0.0079613,                   0,              0.9984,                   1,               0.995,             0.92428,           0.0075401,           0.0028457,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.012988,           0.0075362,                   0,             0.99909,                   1,               0.995,              0.9406,             0.00571,           0.0027323,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.014199,           0.0073595,                   0,             0.99396,                   1,               0.995,             0.94442,           0.0054916,           0.0027901,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.014124,           0.0072891,                   0,              0.9956,                   1,               0.995,             0.96075,           0.0050765,           0.0026785,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.012092,           0.0072667,                   0,             0.99741,                   1,               0.995,             0.95205,           0.0048888,           0.0026779,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.012072,           0.0073007,                   0,             0.99789,                   1,               0.995,             0.95736,           0.0051533,           0.0026183,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.013142,           0.0071462,                   0,              0.9986,                   1,               0.995,             0.96775,           0.0047416,           0.0026209,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.011362,           0.0071235,                   0,             0.99807,                   1,               0.995,             0.96911,           0.0046559,           0.0026024,                   0,             0.00076,             0.00076,             0.00076
